GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Logiweb Service,org.retal.dao,CityDistanceDAO,100,7,0,0,22,2,5,2,5,2
Logiweb Service,org.retal.dao,UserDAO,6,221,2,6,2,50,2,11,0,9
Logiweb Service,org.retal.dao,DAO,0,103,0,10,0,19,0,9,0,4
Logiweb Service,org.retal.dao,OrderRouteProgressionDAO,67,7,0,0,22,2,4,2,4,2
Logiweb Service,org.retal.dao,CarDAO,57,46,0,0,17,14,3,4,3,4
Logiweb Service,org.retal.dao,CityDAO,0,116,0,2,0,24,0,8,0,7
Logiweb Service,org.retal.dao,RoutePointDAO,40,7,2,0,11,2,6,2,5,2
Logiweb Service,org.retal.dao,OrderDAO,182,7,12,0,44,2,12,2,6,2
Logiweb Service,org.retal.dao,CargoDAO,91,7,0,0,25,2,5,2,5,2
Logiweb Service,org.retal.controller,DriverPageController,280,12,12,0,54,5,11,1,5,1
Logiweb Service,org.retal.controller,AdminPageController,414,22,12,0,80,8,17,2,11,2
Logiweb Service,org.retal.controller,ManagerPageController,506,19,16,0,101,7,21,2,13,2
Logiweb Service,org.retal.controller,CargoAndOrdersPageController,215,15,8,0,35,6,11,1,7,1
Logiweb Service,org.retal.controller,ErrorPagesController,25,3,2,0,8,1,6,1,5,1
Logiweb Service,org.retal.controller,AuthAndLogoutController,32,7,4,0,10,2,4,2,2,2
Logiweb Service,org.retal.controller,HomePageController,7,7,0,0,3,2,2,2,2,2
Logiweb Service,org.retal.controller,GlobalExceptionHandler,39,7,2,0,6,2,2,2,1,2
Logiweb Service,org.retal.service,CarService,325,24,26,0,58,8,26,2,13,2
Logiweb Service,org.retal.service,DriverService,421,25,47,0,94,9,28,2,3,2
Logiweb Service,org.retal.service,CargoAndOrdersService,3008,40,279,0,589,14,173,2,33,2
Logiweb Service,org.retal.service,CityService,99,13,4,0,28,5,5,2,3,2
Logiweb Service,org.retal.service,CarValidator,94,10,14,0,20,4,10,2,3,2
Logiweb Service,org.retal.service,RoutePointsValidator,272,13,32,0,44,5,19,2,3,2
Logiweb Service,org.retal.service,UserValidator,287,28,26,2,59,10,18,4,5,3
Logiweb Service,org.retal.service,CargoValidator,97,10,10,0,24,4,9,2,4,2
Logiweb Service,org.retal.service,UserAuthorizationService,58,10,2,0,9,4,2,2,1,2
Logiweb Service,org.retal.service,UserService,406,19,42,0,89,7,31,2,10,2
